time_s,voltage_v,current_a,temperature_c,soc_pct,dt_s,temperature_k,soc
-158.0,-0.084,-0.072,0.0,57.0,0.09999999999999432,273.15,0.57
-157.9,-0.052,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-157.8,-0.051,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-157.7,-0.084,-0.072,0.0,57.0,0.10000000000002274,273.15,0.57
-157.6,-0.051,-0.082,0.0,51.5,0.09999999999999432,273.15,0.515
-157.5,-0.052,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-157.4,-0.053,-0.078,0.0,51.5,0.09999999999999432,273.15,0.515
-157.3,-0.051,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-157.2,-0.056,-0.081,0.0,51.5,0.10000000000002274,273.15,0.515
-157.1,-0.084,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-157.0,-0.086,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-156.9,-0.056,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-156.8,-0.089,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-156.7,-0.083,-0.071,0.0,57.0,0.10000000000002274,273.15,0.57
-156.6,-0.052,-0.082,0.0,51.5,0.09999999999999432,273.15,0.515
-156.5,-0.083,-0.072,0.0,57.0,0.09999999999999432,273.15,0.57
-156.4,-0.052,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-156.3,-0.052,-0.082,0.0,51.5,0.09999999999999432,273.15,0.515
-156.2,-0.054,-0.081,0.0,51.5,0.10000000000002274,273.15,0.515
-156.1,-0.053,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-156.0,-0.051,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-155.9,-0.083,-0.072,0.0,57.0,0.09999999999999432,273.15,0.57
-155.8,-0.083,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-155.7,-0.052,-0.08,0.0,51.5,0.10000000000002274,273.15,0.515
-155.6,-0.055,-0.082,0.0,51.5,0.09999999999999432,273.15,0.515
-155.5,-0.056,-0.082,0.0,51.5,0.09999999999999432,273.15,0.515
-155.4,-0.047,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-155.3,-0.052,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-155.2,-0.052,-0.081,0.0,51.5,0.10000000000002274,273.15,0.515
-155.1,-0.082,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-155.0,-0.084,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-154.9,-0.054,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-154.8,-0.056,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-154.7,-0.086,-0.071,0.0,57.0,0.10000000000002274,273.15,0.57
-154.6,-0.054,-0.082,0.0,51.5,0.09999999999999432,273.15,0.515
-154.5,-0.049,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-154.4,-0.087,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-154.3,-0.084,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-154.2,-0.084,-0.071,0.0,57.0,0.10000000000002274,273.15,0.57
-154.1,-0.052,-0.073,0.0,51.5,0.09999999999999432,273.15,0.515
-154.0,-0.053,-0.08,0.0,51.5,0.09999999999999432,273.15,0.515
-153.9,-0.051,-0.082,0.0,51.5,0.09999999999999432,273.15,0.515
-153.8,-0.082,-0.072,0.0,57.0,0.09999999999999432,273.15,0.57
-153.7,-0.084,-0.071,0.0,57.0,0.10000000000002274,273.15,0.57
-153.6,-0.083,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-153.5,-0.082,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-153.4,-0.085,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-153.3,-0.053,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-153.2,-0.054,-0.082,0.0,51.5,0.10000000000002274,273.15,0.515
-153.1,-0.055,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-153.0,-0.082,-0.072,0.0,57.0,0.09999999999999432,273.15,0.57
-152.9,-0.054,-0.082,0.0,51.5,0.09999999999999432,273.15,0.515
-152.8,-0.053,-0.082,0.0,51.5,0.09999999999999432,273.15,0.515
-152.7,-0.054,-0.082,0.0,51.5,0.10000000000002274,273.15,0.515
-152.6,-0.057,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-152.5,-0.051,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-152.4,-0.081,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-152.3,-0.082,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-152.2,-0.085,-0.072,0.0,57.0,0.10000000000002274,273.15,0.57
-152.1,-0.052,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-152.0,-0.085,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-151.9,-0.052,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-151.8,-0.055,-0.082,0.0,51.5,0.09999999999999432,273.15,0.515
-151.7,-0.054,-0.081,0.0,51.5,0.10000000000002274,273.15,0.515
-151.6,-0.086,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-151.5,-0.048,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-151.4,-0.049,-0.082,0.0,51.5,0.09999999999999432,273.15,0.515
-151.3,-0.051,-0.082,0.0,51.5,0.09999999999999432,273.15,0.515
-151.2,-0.087,-0.072,0.0,57.0,0.10000000000002274,273.15,0.57
-151.1,-0.053,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-151.0,-0.082,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-150.9,-0.05,-0.082,0.0,51.5,0.09999999999999432,273.15,0.515
-150.8,-0.051,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-150.7,-0.049,-0.081,0.0,51.5,0.10000000000002274,273.15,0.515
-150.6,-0.082,-0.072,0.0,57.0,0.09999999999999432,273.15,0.57
-150.5,-0.089,-0.072,0.0,57.0,0.09999999999999432,273.15,0.57
-150.4,-0.049,-0.082,0.0,51.5,0.09999999999999432,273.15,0.515
-150.3,-0.045,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-150.2,-0.051,-0.081,0.0,51.5,0.10000000000002274,273.15,0.515
-150.1,-0.085,-0.072,0.0,57.0,0.09999999999999432,273.15,0.57
-150.0,-0.054,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-149.9,-0.086,-0.07,0.0,57.0,0.09999999999999432,273.15,0.57
-149.8,-0.081,-0.07,0.0,57.0,0.09999999999999432,273.15,0.57
-149.7,-0.085,-0.071,0.0,57.0,0.10000000000002274,273.15,0.57
-149.6,-0.088,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-149.5,-0.089,-0.072,0.0,57.0,0.09999999999999432,273.15,0.57
-149.4,-0.052,-0.08,0.0,51.5,0.09999999999999432,273.15,0.515
-149.3,-0.05,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-149.2,-0.058,-0.082,0.0,51.5,0.10000000000002274,273.15,0.515
-149.1,-0.047,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-149.0,-0.051,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-148.9,-0.089,-0.072,0.0,57.0,0.09999999999999432,273.15,0.57
-148.8,-0.054,-0.082,0.0,51.5,0.09999999999999432,273.15,0.515
-148.7,-0.052,-0.079,0.0,51.5,0.10000000000002274,273.15,0.515
-148.6,-0.053,-0.08,0.0,51.5,0.09999999999999432,273.15,0.515
-148.5,-0.056,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-148.4,-0.053,-0.082,0.0,51.5,0.09999999999999432,273.15,0.515
-148.3,-0.083,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-148.2,-0.054,-0.083,0.0,51.5,0.10000000000002274,273.15,0.515
-148.1,-0.054,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-148.0,-0.054,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-147.9,-0.054,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-147.8,-0.05,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-147.7,-0.053,-0.081,0.0,51.5,0.10000000000002274,273.15,0.515
-147.6,-0.089,-0.072,0.0,57.0,0.09999999999999432,273.15,0.57
-147.5,-0.052,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-147.4,-0.053,-0.08,0.0,51.5,0.09999999999999432,273.15,0.515
-147.3,-0.085,-0.072,0.0,57.0,0.09999999999999432,273.15,0.57
-147.2,-0.054,-0.082,0.0,51.5,0.10000000000002274,273.15,0.515
-147.1,-0.052,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-147.0,-0.085,-0.07,0.0,57.0,0.09999999999999432,273.15,0.57
-146.9,-0.082,-0.07,0.0,57.0,0.09999999999999432,273.15,0.57
-146.8,-0.052,-0.082,0.0,51.5,0.09999999999999432,273.15,0.515
-146.7,-0.05,-0.081,0.0,51.5,0.10000000000002274,273.15,0.515
-146.6,-0.052,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-146.5,-0.05,-0.08,0.0,51.5,0.09999999999999432,273.15,0.515
-146.4,-0.053,-0.083,0.0,51.5,0.09999999999999432,273.15,0.515
-146.3,-0.081,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-146.2,-0.049,-0.081,0.0,51.5,0.10000000000002274,273.15,0.515
-146.1,-0.053,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-146.0,-0.054,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-145.9,-0.054,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-145.8,-0.05,-0.082,0.0,51.5,0.09999999999999432,273.15,0.515
-145.7,-0.053,-0.082,0.0,51.5,0.10000000000002274,273.15,0.515
-145.6,-0.051,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-145.5,-0.056,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
